file_index,file_name,timestep,dominant_mode,estimated_wave_number
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,24,"(1,-1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,25,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,26,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,27,"(1,1)",1.414
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,0,"(2,1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,1,"(2,-1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,2,"(2,1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,3,"(2,1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,4,"(2,1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,5,"(2,1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,6,"(2,-1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,7,"(2,1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,8,"(2,-1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,9,"(2,1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,10,"(2,1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,11,"(2,-1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,12,"(2,-1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,13,"(2,1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,14,"(2,1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,15,"(2,1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,16,"(2,1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,17,"(2,1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,18,"(2,-1)",2.236
8,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file8.mat,19,"(2,1)",2.236
